지역명,날짜,매매지수
보성군,2020-06-01 00:00:52,
화순군,2020-06-01 00:00:52,
장흥군,2020-06-01 00:00:52,
강진군,2020-06-01 00:00:52,
해남군,2020-06-01 00:00:52,
영암군,2020-06-01 00:00:52,
무안군,2020-06-01 00:00:52,
함평군,2020-06-01 00:00:52,
영광군,2020-06-01 00:00:52,
장성군,2020-06-01 00:00:52,
완도군,2020-06-01 00:00:52,
진도군,2020-06-01 00:00:52,
포항시 남구,2020-06-01 00:00:52,85.46784026
포항시 북구,2020-06-01 00:00:52,79.80565968
경주시,2020-06-01 00:00:52,
김천시,2020-06-01 00:00:52,87.88212011
안동시,2020-06-01 00:00:52,89.05913521
구미시,2020-06-01 00:00:52,83.33659583
영주시,2020-06-01 00:00:52,
영천시,2020-06-01 00:00:52,
상주시,2020-06-01 00:00:52,
문경시,2020-06-01 00:00:52,
경산시,2020-06-01 00:00:52,92.21502635
의성군,2020-06-01 00:00:52,
영덕군,2020-06-01 00:00:52,
청도군,2020-06-01 00:00:52,
고령군,2020-06-01 00:00:52,
성주군,2020-06-01 00:00:52,
칠곡군,2020-06-01 00:00:52,
예천군,2020-06-01 00:00:52,
봉화군,2020-06-01 00:00:52,
창원시 의창구,2020-06-01 00:00:52,83.01876711
창원시 성산구,2020-06-01 00:00:52,78.22200031
창원시 마산합포구,2020-06-01 00:00:52,86.06529102
창원시 마산회원구,2020-06-01 00:00:52,89.28246473
창원시 진해구,2020-06-01 00:00:52,85.32344642
진주시,2020-06-01 00:00:52,89.14700447
통영시,2020-06-01 00:00:52,94.7385339
사천시,2020-06-01 00:00:52,
김해시,2020-06-01 00:00:52,82.86696563
밀양시,2020-06-01 00:00:52,
거제시,2020-06-01 00:00:52,92.3208057
양산시,2020-06-01 00:00:52,83.60886947
의령군,2020-06-01 00:00:52,
함안군,2020-06-01 00:00:52,
창녕군,2020-06-01 00:00:52,
경남 고성군,2020-06-01 00:00:52,
남해군,2020-06-01 00:00:52,
하동군,2020-06-01 00:00:52,
산청군,2020-06-01 00:00:52,
함양군,2020-06-01 00:00:52,
거창군,2020-06-01 00:00:52,
합천군,2020-06-01 00:00:52,
제주시,2020-06-01 00:00:52,
서귀포시,2020-06-01 00:00:52,
춘천시,2020-06-01 00:00:52,83.41788664
원주시,2020-06-01 00:00:52,84.83793227
강릉시,2020-06-01 00:00:52,76.75671963
동해시,2020-06-01 00:00:52,
태백시,2020-06-01 00:00:52,
속초시,2020-06-01 00:00:52,
삼척시,2020-06-01 00:00:52,
홍천군,2020-06-01 00:00:52,
횡성군,2020-06-01 00:00:52,
영월군,2020-06-01 00:00:52,
평창군,2020-06-01 00:00:52,
정선군,2020-06-01 00:00:52,
철원군,2020-06-01 00:00:52,
화천군,2020-06-01 00:00:52,
양구군,2020-06-01 00:00:52,
인제군,2020-06-01 00:00:52,
 고성군,2020-06-01 00:00:52,
양양군,2020-06-01 00:00:52,
전주시 완산구,2020-06-01 00:00:52,86.68194082
전주시 덕진구,2020-06-01 00:00:52,86.55848102
군산시,2020-06-01 00:00:52,80.327297
익산시,2020-06-01 00:00:52,91.81281247
정읍시,2020-06-01 00:00:52,
남원시,2020-06-01 00:00:52,
김제시,2020-06-01 00:00:52,
완주군,2020-06-01 00:00:52,
무주군,2020-06-01 00:00:52,
임실군,2020-06-01 00:00:52,
순창군,2020-06-01 00:00:52,
고창군,2020-06-01 00:00:52,
부안군,2020-06-01 00:00:52,
종로구,2020-06-08 00:00:52,85.53673784
서울 중구,2020-06-08 00:00:52,81.2616403
용산구,2020-06-08 00:00:52,80.58906055
성동구,2020-06-08 00:00:52,80.62427339
광진구,2020-06-08 00:00:52,82.69301095
동대문구,2020-06-08 00:00:52,79.03280396
중랑구,2020-06-08 00:00:52,77.68123619
성북구,2020-06-08 00:00:52,77.33394449
강북구,2020-06-08 00:00:52,74.8540052
도봉구,2020-06-08 00:00:52,73.20757101
노원구,2020-06-08 00:00:52,68.73461148
은평구,2020-06-08 00:00:52,76.95786929
서대문구,2020-06-08 00:00:52,82.21318571
마포구,2020-06-08 00:00:52,78.34532217
양천구,2020-06-08 00:00:52,80.37092553
서울 강서구,2020-06-08 00:00:52,75.45009139
구로구,2020-06-08 00:00:52,75.21281972
금천구,2020-06-08 00:00:52,81.31523108
영등포구,2020-06-08 00:00:52,79.01233253
동작구,2020-06-08 00:00:52,77.61820683
관악구,2020-06-08 00:00:52,80.70975434
서초구,2020-06-08 00:00:52,80.47746498
강남구,2020-06-08 00:00:52,81.49118956
송파구,2020-06-08 00:00:52,78.4005325
강동구,2020-06-08 00:00:52,80.59648026
부산 중구,2020-06-08 00:00:52,97.1163839
부산 서구,2020-06-08 00:00:52,92.47552153
부산 동구,2020-06-08 00:00:52,89.99757525
영도구,2020-06-08 00:00:52,86.20500496
부산진구,2020-06-08 00:00:52,81.35568185
동래구,2020-06-08 00:00:52,79.29738753
부산 남구,2020-06-08 00:00:52,78.22461782
부산 북구,2020-06-08 00:00:52,83.31539223
해운대구,2020-06-08 00:00:52,65.49483616
사하구,2020-06-08 00:00:52,82.98041398
금정구,2020-06-08 00:00:52,80.28875373
부산 강서구,2020-06-08 00:00:52,79.85074627
연제구,2020-06-08 00:00:52,79.91749037
수영구,2020-06-08 00:00:52,75.01629958
사상구,2020-06-08 00:00:52,88.36230662
기장군,2020-06-08 00:00:52,77.37886907
대구 중구,2020-06-08 00:00:52,84.55323299
대구 동구,2020-06-08 00:00:52,89.02186166
대구 서구,2020-06-08 00:00:52,87.23433058
대구 남구,2020-06-08 00:00:52,85.45760243
대구 북구,2020-06-08 00:00:52,88.42008473
수성구,2020-06-08 00:00:52,81.32420274
달서구,2020-06-08 00:00:52,77.86939314
달성군,2020-06-08 00:00:52,88.49495216
인천 중구,2020-06-08 00:00:52,79.38792838
인천 동구,2020-06-08 00:00:52,77.31132214
미추홀구,2020-06-08 00:00:52,80.73520625
연수구,2020-06-08 00:00:52,64.33560966
남동구,2020-06-08 00:00:52,74.45768381
부평구,2020-06-08 00:00:52,71.63882049
계양구,2020-06-08 00:00:52,71.21108766
인천 서구,2020-06-08 00:00:52,71.91708636
강화군,2020-06-08 00:00:52,
광주 동구,2020-06-08 00:00:52,94.90619095
광주 서구,2020-06-08 00:00:52,87.37516576
광주 남구,2020-06-08 00:00:52,85.91707684
광주 북구,2020-06-08 00:00:52,85.15945037
광산구,2020-06-08 00:00:52,80.90914624
대전 동구,2020-06-08 00:00:52,82.04347847
대전 중구,2020-06-08 00:00:52,80.48836696
대전 서구,2020-06-08 00:00:52,76.1445506
유성구,2020-06-08 00:00:52,76.31125606
대덕구,2020-06-08 00:00:52,76.92762714
울산 중구,2020-06-08 00:00:52,83.61606724
울산 남구,2020-06-08 00:00:52,77.77889678
울산 동구,2020-06-08 00:00:52,86.37311657
울산 북구,2020-06-08 00:00:52,82.13408782
울주군,2020-06-08 00:00:52,86.06754104
세종특별자치시,2020-06-08 00:00:52,69.59799327
수원시 장안구,2020-06-08 00:00:52,69.09878201
수원시 권선구,2020-06-08 00:00:52,69.22372327
수원시 팔달구,2020-06-08 00:00:52,73.43215857
수원시 영통구,2020-06-08 00:00:52,68.75560377
성남시 수정구,2020-06-08 00:00:52,77.03631903
성남시 중원구,2020-06-08 00:00:52,76.46374959
성남시 분당구,2020-06-08 00:00:52,76.37410385
의정부시,2020-06-08 00:00:52,67.2842199
안양시 만안구,2020-06-08 00:00:52,76.81621075
안양시 동안구,2020-06-08 00:00:52,70.97850406
부천시,2020-06-08 00:00:52,70.95909787
부천시 원미구,2020-06-08 00:00:52,
부천시 소사구,2020-06-08 00:00:52,
부천시 오정구,2020-06-08 00:00:52,
광명시,2020-06-08 00:00:52,73.66783394
평택시,2020-06-08 00:00:52,71.92362975
동두천시,2020-06-08 00:00:52,72.36908355
안산시 상록구,2020-06-08 00:00:52,71.91933144
안산시 단원구,2020-06-08 00:00:52,71.17589771
고양시 덕양구,2020-06-08 00:00:52,64.45379446
고양시 일산동구,2020-06-08 00:00:52,68.67212341
고양시 일산서구,2020-06-08 00:00:52,70.14199281
과천시,2020-06-08 00:00:52,83.48573526
구리시,2020-06-08 00:00:52,75.53742267
남양주시,2020-06-08 00:00:52,66.67487333
오산시,2020-06-08 00:00:52,64.0903054
시흥시,2020-06-08 00:00:52,66.92307163
군포시,2020-06-08 00:00:52,70.48275857
의왕시,2020-06-08 00:00:52,67.02094939
하남시,2020-06-08 00:00:52,78.40689375
용인시 처인구,2020-06-08 00:00:52,73.28654698
용인시 기흥구,2020-06-08 00:00:52,73.31794232
용인시 수지구,2020-06-08 00:00:52,74.32177754
파주시,2020-06-08 00:00:52,74.33515222
이천시,2020-06-08 00:00:52,82.49795439
안성시,2020-06-08 00:00:52,70.94945644
김포시,2020-06-08 00:00:52,69.08082088
화성시,2020-06-08 00:00:52,69.85278786
광주시,2020-06-08 00:00:52,72.20770315
양주시,2020-06-08 00:00:52,74.93957895
포천시,2020-06-08 00:00:52,
여주시,2020-06-08 00:00:52,
연천군,2020-06-08 00:00:52,
가평군,2020-06-08 00:00:52,
양평군,2020-06-08 00:00:52,
청주시 상당구,2020-06-08 00:00:52,83.57150619
청주시 서원구,2020-06-08 00:00:52,81.48174023
청주시 흥덕구,2020-06-08 00:00:52,82.00833957
청주시 청원구,2020-06-08 00:00:52,87.31470083
충주시,2020-06-08 00:00:52,81.17718802
제천시,2020-06-08 00:00:52,83.12730382
보은군,2020-06-08 00:00:52,
옥천군,2020-06-08 00:00:52,
영동군,2020-06-08 00:00:52,
증평군,2020-06-08 00:00:52,
진천군,2020-06-08 00:00:52,
괴산군,2020-06-08 00:00:52,
음성군,2020-06-08 00:00:52,
단양군,2020-06-08 00:00:52,
